account_alias,date_trunc,net,a_reg_week,a_reg_status,n_regs,improper_format,probable_duplicate,approx_alexa
m2,2016-08-29,176.103.23.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-29,176.103.23.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-29,176.103.23.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-29,176.103.23.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-29,176.103.23.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-29,176.103.23.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-29,176.103.23.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-09-01,176.103.23.0/24,2015-03-02,email-clicked,1,f,f,19500
m1,2016-12-12,176.117.79.0/24,2015-03-02,email-clicked,1,f,f,19500
g2,2016-12-16,176.120.109.0/24,2015-03-02,unconfirmed,1,f,f,17000
g2,2016-11-30,176.122.122.0/24,2015-03-02,unconfirmed,1,f,f,17000
q2,2016-11-16,176.124.144.0/24,2015-03-02,unconfirmed,1,f,f,21500
q2,2016-11-16,176.124.144.0/24,2015-03-02,unconfirmed,1,f,f,21500
k1,2016-04-07,176.205.82.0/24,2015-03-02,email-clicked,1,f,f,20000
m2,2016-07-31,176.241.130.0/24,2015-03-02,email-clicked,1,f,f,19500
r1,2016-10-31,176.45.222.0/24,2015-03-02,email-clicked,2,f,f,22000
j2,2016-08-16,176.50.241.0/24,2015-03-02,unconfirmed,1,f,f,20000
m2,2016-08-18,176.50.85.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-18,176.50.85.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-20,176.59.118.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-07-31,176.62.101.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-20,176.62.101.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-20,176.62.101.0/24,2015-03-02,email-clicked,1,f,f,19500
d3,2017-01-17,176.62.101.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-11,176.62.102.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-17,176.62.106.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-18,176.62.124.0/24,2015-12-07,email-clicked,1,f,f,20000
d3,2017-01-17,176.62.95.0/24,2015-12-07,email-clicked,1,f,f,20000
m2,2016-08-17,176.67.16.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-17,176.67.16.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-14,176.67.28.0/24,2015-03-02,email-clicked,1,f,f,19500
m2,2016-08-14,176.67.28.0/24,2015-03-02,email-clicked,1,f,t,19500
m2,2016-08-14,176.67.28.0/24,2015-03-02,email-clicked,1,f,t,19500
